"date","placename","days","Common Racoon","Coyote","Fox","Gray squirrel","Mourning dove","Mouse","North American beaver","Northern flicker","Pileated woodpecker","Virginia opossum","White-tailed deer"
2022-10-17,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-18,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,2
2022-10-19,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-20,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,4
2022-10-21,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-22,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,3
2022-10-23,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-17,"-2845.595",1,0,1,0,0,0,0,0,0,0,0,1
2022-10-18,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,4
2022-10-19,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,4
2022-10-20,"-2845.595",1,0,0,0,1,0,0,0,0,0,0,6
2022-10-21,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,9
2022-10-22,"-2845.595",1,0,0,0,1,0,0,0,0,0,0,7
2022-10-23,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-17,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,2
2022-10-18,"-2845.652",1,0,0,0,0,0,0,0,0,0,1,2
2022-10-19,"-2845.652",1,0,0,0,2,0,0,0,0,0,1,1
2022-10-20,"-2845.652",1,1,0,0,1,0,0,0,0,0,0,3
2022-10-21,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-22,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-23,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-17,"-2845.706",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,"-2845.706",1,0,0,0,2,0,0,0,0,0,0,1
2022-10-19,"-2845.706",1,0,0,0,2,0,0,0,0,0,0,0
2022-10-20,"-2845.706",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-21,"-2845.706",1,0,0,0,2,0,0,0,1,1,0,0
2022-10-22,"-2845.706",1,0,0,0,2,0,0,0,0,0,1,1
2022-10-23,"-2845.706",1,0,0,0,1,0,0,0,0,0,0,0
2022-10-17,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-18,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-19,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-20,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-21,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-22,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-23,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-17,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-19,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-20,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-21,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-22,"-2845.764",1,1,0,0,0,0,0,0,0,0,0,0
2022-10-23,"-2845.764",1,0,0,0,1,0,0,0,0,0,0,0
2022-10-17,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-19,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-20,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-21,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-22,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-17,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,3
2022-10-19,"-2845.746",1,0,0,0,1,0,0,0,0,0,0,4
2022-10-20,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,5
2022-10-21,"-2845.746",1,0,0,0,0,0,0,1,0,0,0,5
2022-10-22,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,3
2022-10-23,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,3
2022-10-17,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-19,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,2
2022-10-20,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-21,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-22,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-23,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-31,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-01,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-02,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,6
2022-11-03,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,4
2022-11-04,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-05,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,3
2022-11-06,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-07,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-31,"-2845.595",1,0,0,0,1,0,0,0,0,0,2,1
2022-11-01,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-02,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,4
2022-11-03,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-04,"-2845.595",1,1,0,0,2,0,0,0,0,0,0,6
2022-11-05,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,4
2022-11-06,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-07,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-31,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,"-2845.652",1,1,0,0,1,0,0,0,0,0,0,0
2022-11-02,"-2845.652",1,0,0,0,4,0,0,0,0,0,1,0
2022-11-03,"-2845.652",1,0,0,0,1,0,0,0,0,0,0,0
2022-11-04,"-2845.652",1,0,0,0,3,0,0,0,0,0,0,0
2022-11-05,"-2845.652",1,0,0,0,2,0,0,0,0,0,0,1
2022-11-06,"-2845.652",1,0,0,0,3,0,0,0,0,0,0,0
2022-11-07,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-31,"-2845.706",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,"-2845.706",1,0,0,0,1,0,0,0,0,0,1,0
2022-11-02,"-2845.706",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-03,"-2845.706",1,0,0,0,2,0,0,0,0,0,0,0
2022-11-04,"-2845.706",1,0,0,0,2,0,0,0,0,0,0,0
2022-11-05,"-2845.706",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-06,"-2845.706",1,0,0,0,1,0,0,0,0,0,0,0
2022-11-07,"-2845.706",1,0,0,0,1,0,0,0,0,0,0,0
2022-10-31,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-02,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-03,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-04,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-05,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-06,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-07,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-31,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-01,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,4
2022-11-02,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-03,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-04,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-05,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-06,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-07,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-31,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-02,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-03,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-04,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-05,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-06,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-07,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-31,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-01,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,3
2022-11-02,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,6
2022-11-03,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,6
2022-11-04,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,3
2022-11-05,"-2845.746",1,0,0,0,1,0,0,0,0,0,0,6
2022-11-06,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,8
2022-11-07,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-31,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-01,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-02,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-03,"-2845.707",1,1,0,0,0,0,0,0,0,0,0,1
2022-11-04,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-05,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,4
2022-11-06,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-14,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,3
2022-11-15,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-16,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-17,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-18,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,3
2022-11-19,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-20,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,5
2022-11-21,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,3
2022-11-22,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-23,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-14,"-2845.595",1,1,0,0,0,0,0,0,0,0,0,3
2022-11-15,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-16,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-17,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,3
2022-11-18,"-2845.595",1,1,0,1,0,0,0,0,0,0,0,5
2022-11-19,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,3
2022-11-20,"-2845.595",1,0,0,0,1,0,0,0,0,0,0,5
2022-11-21,"-2845.595",1,0,0,0,2,0,0,0,0,0,0,2
2022-11-22,"-2845.595",1,0,0,1,0,0,0,0,0,0,0,6
2022-11-23,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-14,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-15,"-2845.652",1,0,0,0,1,0,0,0,0,0,0,1
2022-11-16,"-2845.652",1,0,0,0,1,0,0,0,0,0,1,2
2022-11-17,"-2845.652",1,0,0,0,2,0,0,0,0,0,0,1
2022-11-18,"-2845.652",1,0,0,0,1,0,0,0,0,0,0,0
2022-11-19,"-2845.652",1,0,0,0,2,0,0,0,0,0,0,3
2022-11-20,"-2845.652",1,0,0,0,1,0,0,0,0,0,0,0
2022-11-21,"-2845.652",1,0,0,0,2,0,0,0,0,0,0,2
2022-11-22,"-2845.652",1,0,0,0,2,0,0,0,0,0,0,0
2022-11-23,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-14,"-2845.706",1,1,0,0,1,0,0,0,0,0,0,0
2022-11-15,"-2845.706",1,0,0,0,0,0,0,0,0,0,1,0
2022-11-16,"-2845.706",1,0,0,0,1,0,0,0,0,0,0,0
2022-11-17,"-2845.706",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-18,"-2845.706",1,0,0,0,3,0,0,0,0,0,0,0
2022-11-19,"-2845.706",1,0,0,0,1,0,0,0,0,0,1,1
2022-11-20,"-2845.706",1,0,0,0,1,0,0,0,0,0,0,1
2022-11-21,"-2845.706",1,0,0,0,1,0,0,0,0,0,0,0
2022-11-22,"-2845.706",1,0,0,0,2,0,0,0,0,0,0,0
2022-11-23,"-2845.706",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-14,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-15,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,3
2022-11-16,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-17,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-18,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-19,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-20,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-21,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-22,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-23,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-14,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-15,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-16,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-17,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-18,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-19,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-20,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-21,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-22,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-23,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-14,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-15,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-16,"-2845.746",1,0,0,0,1,0,0,0,0,0,0,1
2022-11-17,"-2845.746",1,1,0,0,0,0,0,0,0,0,0,2
2022-11-18,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-19,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-20,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-21,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-22,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-23,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-14,"-2845.707",1,1,0,0,0,0,0,0,0,0,0,0
2022-11-15,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-12,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-13,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-14,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-15,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-16,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-17,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-18,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-19,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-20,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-21,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-22,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-23,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,2
2022-11-24,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-25,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-26,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-27,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-28,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-29,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,4
2022-11-30,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-01,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-02,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-03,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-04,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-05,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-06,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-07,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-08,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-09,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-10,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-11,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-12,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-13,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-14,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-15,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-16,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-17,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-18,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-19,"-2845.631",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-12,"-2845.701",1,0,0,0,1,0,0,0,0,0,0,0
2022-11-13,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-14,"-2845.701",1,0,0,0,1,0,0,0,0,0,0,0
2022-11-15,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-16,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-17,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-18,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-19,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-20,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-21,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-22,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-23,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-24,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,3
2022-11-25,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-26,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-27,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-28,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-29,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-30,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-02,"-2845.701",1,0,0,0,1,0,0,0,0,0,0,0
2022-12-03,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-04,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-05,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-06,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-07,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-08,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-09,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-10,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-11,"-2845.701",1,0,0,0,1,0,0,0,0,0,0,0
2022-12-12,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-13,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-14,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-15,"-2845.701",1,0,0,0,1,0,0,0,0,0,0,0
2022-12-16,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-17,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-18,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-19,"-2845.701",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-14,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-15,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-16,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-17,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-18,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-19,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-20,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,1
2022-11-21,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-22,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-11-23,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-19,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-20,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-21,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-22,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-23,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-24,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-25,"-2845.652",1,0,0,0,1,0,0,0,0,0,0,0
2022-12-26,"-2845.652",1,1,0,0,2,0,0,0,0,0,0,0
2022-12-27,"-2845.652",1,0,0,0,2,0,0,0,0,0,0,0
2022-12-28,"-2845.652",1,0,0,0,3,0,0,0,0,0,0,0
2022-12-29,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-19,"-2845.706",1,0,0,0,1,0,0,0,0,0,0,0
2022-12-20,"-2845.706",1,0,0,0,3,1,0,0,0,0,0,0
2022-12-21,"-2845.706",1,0,0,0,2,0,0,0,0,0,0,0
2022-12-22,"-2845.706",1,0,0,0,0,0,0,0,0,0,1,2
2022-12-23,"-2845.706",1,0,0,0,1,0,1,0,0,0,0,0
2022-12-24,"-2845.706",1,0,0,0,3,0,0,0,0,0,0,0
2022-12-25,"-2845.706",1,0,0,0,1,0,0,0,0,0,0,0
2022-12-26,"-2845.706",1,0,0,0,2,0,0,0,0,0,0,0
2022-12-27,"-2845.706",1,0,0,0,3,0,0,0,0,0,0,0
2022-12-28,"-2845.706",1,1,0,0,8,0,0,0,0,0,0,0
2022-12-29,"-2845.706",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-19,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-20,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-21,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,2
2022-12-22,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-23,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,2
2022-12-24,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,3
2022-12-25,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-26,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-27,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-28,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-29,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-19,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,2
2022-12-20,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-21,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-22,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-23,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-24,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-25,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-26,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-27,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-28,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-29,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-19,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,1
2022-12-20,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-19,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-20,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-21,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-22,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-23,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-24,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-25,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-26,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-27,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,2
2022-12-28,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
2022-12-29,"-2845.745",1,0,0,0,0,0,0,0,0,0,0,0
