project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
DF_2022,G12_01_202201_44851,G12_01,36.023419,78.993641,10/17/2022,10/23/2022,None,NA,On trail,NA,202201,KB1,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_02_202202_44851,G12_02,36.022947,78.99395,10/17/2022,10/23/2022,None,NA,Unknown,NA,202202,KB2,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_03_202203_44851,G12_03,36.023145,78.995111,10/17/2022,10/23/2022,None,NA,Unknown,NA,202203,KB3,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_04_202204_44851,G12_04,36.023674,78.995428,10/17/2022,10/23/2022,None,NA,Unknown,NA,202204,KB4,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_05_202205_44851,G12_05,36.024219,78.994997,10/17/2022,10/23/2022,None,NA,Unknown,NA,202205,KB5,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_06_202206_44851,G12_06,36.024521,78.995199,10/17/2022,10/23/2022,None,NA,Unknown,NA,202206,KB6,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_07_202207_44851,G12_07,36.024929,78.994913,10/17/2022,10/22/2022,None,NA,Unknown,NA,202207,KB7,NA,Unknown Error,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_08_202208_44851,G12_08,36.024684,78.994328,10/17/2022,10/23/2022,None,NA,Unknown,NA,202208,KB8,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_09_202209_44851,G12_09,36.024526,78.993592,10/17/2022,10/23/2022,None,NA,Unknown,NA,202209,KB9,NA,Unknown Error,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_10_202210_44851,G12_10,36.024224,78.994082,10/17/2022,10/17/2022,None,NA,Unknown,NA,202210,KB10,NA,Unknown Error,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_01_202201_44865,G12_01,36.023419,78.993641,10/31/2022,11/7/2022,None,NA,Unknown,NA,202201,KB1,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_02_202202_44865,G12_02,36.022947,78.99395,10/31/2022,11/7/2022,None,NA,Unknown,NA,202202,KB2,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_03_202203_44865,G12_03,36.023145,78.995111,10/31/2022,11/7/2022,None,NA,Unknown,NA,202203,KB3,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_04_202204_44865,G12_04,36.023674,78.995428,10/31/2022,11/7/2022,None,NA,Unknown,NA,202204,KB4,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_05_202205_44865,G12_05,36.024219,78.994997,10/31/2022,11/7/2022,None,NA,Unknown,NA,202205,KB5,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_06_202206_44865,G12_06,36.024521,78.995199,10/31/2022,11/7/2022,None,NA,Unknown,NA,202206,KB6,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_07_202207_44865,G12_07,36.024929,78.994913,10/31/2022,11/7/2022,None,NA,Unknown,NA,202207,KB7,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_08_202208_44865,G12_08,36.024684,78.994328,10/31/2022,11/7/2022,None,NA,Unknown,NA,202208,KB8,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_09_202209_44865,G12_09,36.024526,78.993592,10/31/2022,11/6/2022,None,NA,Unknown,NA,202209,KB9,NA,Unknown Error,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_10_202210_44865,G12_10,36.024224,78.994082,10/31/2022,10/31/2022,None,NA,Unknown,NA,202210,KB10,NA,Did not record,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_01_202201_44879,G12_01,36.023419,78.993641,11/14/2022,11/23/2022,None,NA,Unknown,NA,202201,KB1,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_02_202202_44879,G12_02,36.022947,78.99395,11/14/2022,11/23/2022,None,NA,Unknown,NA,202202,KB2,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_03_202203_44879,G12_03,36.023145,78.995111,11/14/2022,11/23/2022,None,NA,Unknown,NA,202203,KB3,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_04_202204_44879,G12_04,36.023674,78.995428,11/14/2022,11/23/2022,None,NA,Unknown,NA,202204,KB4,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_05_202205_44879,G12_05,36.024219,78.994997,11/14/2022,11/23/2022,None,NA,Unknown,NA,202205,KB5,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_06_202206_44879,G12_06,36.024521,78.995199,11/14/2022,11/23/2022,None,NA,Unknown,NA,202206,KB6,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_08_202208_44879,G12_08,36.024684,78.994328,11/14/2022,11/23/2022,None,NA,Unknown,NA,202208,KB8,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_09_202209_44879,G12_09,36.024526,78.993592,11/14/2022,11/15/2022,None,NA,Unknown,NA,202209,KB9,NA,Unknown Error,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_11_202211_44877,G12_11,36.023375,78.99402,11/12/2022,12/19/2022,None,NA,Unknown,NA,202211,KB11,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_12_202212_44877,G12_12,36.024256,78.994022,11/12/2022,12/19/2022,None,NA,Unknown,NA,202212,KB12,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_13_202207_44879,G12_13,36.02513,78.99334,11/14/2022,11/23/2022,None,NA,Unknown,NA,202207,KB7,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_03_202203_44914,G12_03,36.023145,78.995111,12/19/2022,12/29/2022,None,NA,Unknown,NA,202203,KB3,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_04_202204_44914,G12_04,36.023674,78.995428,12/19/2022,12/29/2022,None,NA,Unknown,NA,202204,KB4,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_06_202206_44914,G12_06,36.024521,78.995199,12/19/2022,12/29/2022,None,NA,Unknown,NA,202206,KB6,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_08_202208_44914,G12_08,36.024684,78.994328,12/19/2022,12/29/2022,None,NA,Unknown,NA,202208,KB8,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_09_202209_44914,G12_09,36.024526,78.993592,12/19/2022,12/20/2022,None,NA,Unknown,NA,202209,KB9,NA,Unknown Error,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
DF_2022,G12_13_202207_44914,G12_13,36.02513,78.99334,12/19/2022,12/29/2022,None,NA,Unknown,NA,202207,KB7,NA,Functioning,Other,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelly Bruno
